Message,SystemTOV,GPSTOV,TimeSinceLastMsg,"LinearAccelerationX(m/s^2)","LinearAccelerationY(m/s^2)","LinearAccelerationZ(m/s^2)","AngularRateX(rad/s)","AngularRateY(rad/s)","AngularRateZ(rad/s)"
0x2311,2115.5273374781,199291.32078968,0,-9.804068,-0.02661124,-0.05740225,0.0002311426,-0.0006141607,-0.0004310627
0x2311,2115.5273374781,199291.32078968,0,-9.804068,-0.02661124,-0.05740225,0.0002311426,-0.0006141607,-0.0004310627
0x2311,2115.5273374781,199291.32078968,0,-9.804068,-0.02661124,-0.05740225,0.0002311426,-0.0006141607,-0.0004310627
0x2311,2115.5273374781,199291.32078968,0,-9.804068,-0.02661124,-0.05740225,0.0002311426,-0.0006141607,-0.0004310627
0x2311,2115.5373374781,199291.33078968,0.00999999999976353,-9.824159,-0.01496878,-0.04908778,0.0001754728,2.336456E-05,-0.0001641456
0x2311,2115.5473374781,199291.34078968,0.0100000000002183,-9.824945,-0.003243983,-0.05089231,0.0002435409,-0.0002518878,-0.0002336456
0x2311,2115.5573374781,199291.35078968,0.00999999999976353,-9.810456,-0.0113517,-0.05232003,4.672911E-05,0.0002980232,0.0001786975
0x2311,2115.5673374781,199291.36078968,0.0100000000002183,-9.815299,-0.02332535,-0.05205721,2.563465E-05,9.679934E-05,-6.485498E-05
0x2311,2115.5773374781,199291.37078968,0.00999999999976353,-9.797945,-0.01740828,-0.05864874,-6.770715E-05,0.0001095585,3.564637E-05
0x2311,2115.5873374781,199291.38078968,0.0100000000002183,-9.814044,0.003868341,-0.04750527,1.859153E-05,-0.0001713051,0.0003485708
0x2311,2115.5973374781,199291.39078968,0.00999999999976353,-9.819698,-0.009166822,-0.0531828,-0.000166893,-0.0001697568,-1.299195E-05
0x2311,2115.6073374781,199291.40078968,0.0100000000002183,-9.817513,-0.01681522,-0.05669761,2.705492E-05,-7.152557E-05,-0.0002560671
0x2311,2115.6173374781,199291.41078968,0.00999999999976353,-9.827396,-0.02027787,-0.04710052,-7.832423E-05,-0.0002288842,-0.0001401873
0x2311,2115.6273374781,199291.42078968,0.0100000000002183,-9.826315,-0.004777685,-0.04013013,-0.00013971,0.0003871974,0.0001839362
0x2311,2115.6373374781,199291.43078968,0.00999999999976353,-9.804598,-0.0008162111,-0.04394036,-0.0002390123,-0.0001593842,0.0001249369
0x2311,2115.6473374781,199291.44078968,0.0100000000002183,-9.803875,-0.01139808,-0.04935283,-2.766028E-05,0.0002303161,-0.0002938556
0x2311,2115.6573374781,199291.45078968,0.00999999999976353,-9.797691,-0.01070518,-0.05444549,-0.0001097913,-0.0001678476,0.0002484303
0x2311,2115.6673374781,199291.46078968,0.0100000000002183,-9.799239,-0.003176555,-0.03938023,0.0001664157,0.000219699,-4.970934E-05
0x2311,2115.6773374781,199291.47078968,0.00999999999976353,-9.814463,0.0019731,-0.03690701,7.188646E-05,-0.0003386755,-0.0002684537
0x2311,2115.6873374781,199291.48078968,0.0100000000002183,-9.799038,-0.003385916,-0.04807841,0.0001807231,0.0001287437,-0.0001956243
0x2311,2115.6973374781,199291.49078968,0.00999999999976353,-9.81142,-0.009958632,-0.04940983,6.092014E-05,-0.0001053791,3.71947E-05
0x2311,2115.7073374781,199291.50078968,0.0100000000002183,-9.808388,-0.005681068,-0.04157536,0.0001395936,-2.386514E-06,0.0001791748
0x2311,2115.7173374781,199291.51078968,0.00999999999976353,-9.795885,0.001248717,-0.04014056,-0.000171666,0.0001910958,-0.0004167552
0x2311,2115.7273374781,199291.52078968,0.0100000000002183,-9.803104,0.0008115545,-0.03889184,9.895302E-06,-0.0003581052,0.0001343433
0x2311,2115.7373374781,199291.53078968,0.00999999999976353,-9.812884,-0.009370409,-0.05267821,0.0004304689,-2.622837E-05,-0.0003520283
0x2311,2115.7373374781,199291.53078968,0,-9.812884,-0.009370409,-0.05267821,0.0004304689,-2.622837E-05,-0.0003520283
0x2311,2115.7373374781,199291.53078968,0,-9.812884,-0.009370409,-0.05267821,0.0004304689,-2.622837E-05,-0.0003520283
0x2311,2115.7373374781,199291.53078968,0,-9.812884,-0.009370409,-0.05267821,0.0004304689,-2.622837E-05,-0.0003520283
0x2311,2115.7373374781,199291.53078968,0,-9.812884,-0.009370409,-0.05267821,0.0004304689,-2.622837E-05,-0.0003520283
